Location description |Coordinates|Google maps link|Suggested by
50 George Square, Project Room|55.943708, -3.186768|https://goo.gl/maps/i3WMVw7xi1r|JL
Abbeyhill Rd, nr Holyrood coach park|55.953676, -3.174016|https://goo.gl/maps/bbkcRxH25tD2|JL
Albion Place - Hibs|55.962489, -3.166261|https://goo.gl/maps/nWY3ExyzFMq|JL
Alien Rock|55.980619, -3.196557|https://goo.gl/maps/gDDrFSra5j22|VA
Arthur's Seat|55.944637, -3.159289|https://goo.gl/maps/8hun1jRdqaP2|JL
Bangholm Recreation Ground|55.974223, -3.200914|https://goo.gl/maps/Km4GKAWhpDq|VA
Beaufort Rd, Grange Cemetery entrance|55.935449, -3.189895|https://goo.gl/maps/Mctq4tX44zR2|JL
Bingham Park|55.940603, -3.124016|https://goo.gl/maps/1uE5LRZtiZ12|VA
Blackford Hill west|55.921627, -3.196036|https://goo.gl/maps/nobBsLaPDxp|JL
Blenheim Place|55.957712, -3.183172|https://goo.gl/maps/wk9vysUZm3q|JL
Bonaly Rd|55.895944, -3.261331|https://goo.gl/maps/n9oejEyVngS2|JL
Botanics, Inverleith House|55.964983, -3.210142|https://goo.gl/maps/piXwYJAeRHn|JL
Braid Hills trail|55.910599, -3.184142|https://goo.gl/maps/ukHgR5qcWUH2|JL
Braidburn Valley Park|55.914933, -3.215478|https://goo.gl/maps/HnvLLrQ8krF2|JL
Bruntsfield Links, Alvanley Terr|55.937670, -3.203436|https://goo.gl/maps/AA3JhuFMfLu|JL
Bruntsfield Links, playpark|55.940824, -3.199413|https://goo.gl/maps/kZQsUC12wS52|JL
Bruntsfield Links, Whitehouse Loan|55.938903, -3.204397|https://goo.gl/maps/ovkGH5zcRqT2|JL
Buccleuch St, The Dagda|55.942119, -3.184025|https://goo.gl/maps/aVYQPn33rqq|JL
Butterfly World|55.896231, -3.099682|https://goo.gl/maps/6dopDU34kd32|JL
Calton Hill 1|55.954765, -3.180923|https://goo.gl/maps/3BXiJcbk1212|JL
Calton Hill 2|55.955025, -3.182713|https://goo.gl/maps/1QdvGCKboDM2|JL
Cammo Tower|55.954098, -3.321282|https://goo.gl/maps/zCvzy2vns2C2|JL
Castle ramparts|55.949047, -3.200036|https://goo.gl/maps/v18VHkCe82u|JL
City Art Centre entrance|55.9508223, -3.189372|https://www.google.co.uk/maps/place/City+Art+Centre/@55.9508223,-3.189372,18.9z/data=!4m13!1m7!3m6!1s0x0:0x0!2zNTXCsDU3JzAyLjkiTiAzwrAxMSc0NC4yIlc!3b1!8m2!3d55.950801!4d-3.195619!3m4!1s0x0:0x547782aa375b0eb1!8m2!3d55.9510816!4d-3.1894033|TT
City Library|55.948534, -3.192242|https://goo.gl/maps/aZd8d19wQLy|JL
Colinton Mains Park|55.911267, -3.228070|https://goo.gl/maps/6j5wZuPrxc82|JL
Comely Bank Rd, The Scran and Scallie|55.959248, -3.214621|https://goo.gl/maps/yQXd9C63SoA2|JL
Corstorphine Hill|55.958740, -3.277190|https://goo.gl/maps/Uh7msUKXTVt|JL
Craighouse|55.920984, -3.223106|https://goo.gl/maps/me4QDVV9h7y|JL
Craighouse hilltop|55.921112, -3.230342|https://goo.gl/maps/CHdJGsXLtM82|JL
Cramond beach|55.980532, -3.298478|https://goo.gl/maps/tQz4R6vJyKG2|VA
Cramond Inn|55.979691, -3.300120|https://goo.gl/maps/B99fS4AVnJp|VA
Cramond Roman Fort|55.978042, -3.299216|https://goo.gl/maps/HJ3AgTioG292|VA
Cramond Village|55.977960, -3.300624|https://goo.gl/maps/4JwqMoh2jT62|JL
Crichton's Close (SPL)|55.951466, -3.178326|https://goo.gl/maps/zZZ1zp5vDiQ2|JL
Dalkieth Palace, west park entrance|55.897565, -3.085933|https://goo.gl/maps/3fJCy7YmAm32|JL
Dean Gallery|55.951573, -3.223935|https://goo.gl/maps/BBRDgm9AJny|JL
Dr Neill's Garden, Duddingston|55.940461, -3.148913|https://goo.gl/maps/2q6NurKxjRQ2|JL
Drum Park|55.906540, -3.129509|https://goo.gl/maps/uRjekSYz55P2|JL
Dynamic Earth|55.950801, -3.195619|https://www.google.co.uk/maps/place/Dynamic+Earth/@55.9504284,-3.1741083,16.45z/data=!4m13!1m7!3m6!1s0x0:0x0!2zNTXCsDU3JzAyLjkiTiAzwrAxMSc0NC4yIlc!3b1!8m2!3d55.950801!4d-3.195619!3m4!1s0x0:0xe55a4a14290371c2!8m2!3d55.9505439!4d-3.1744158|TT
East Suffolk Park|55.928992, -3.166488|https://goo.gl/maps/AaeUuv6VRRG2|JL
Edinburgh Airport tram stop|55.948274, -3.361671|https://goo.gl/maps/wPNAkmULbdG2|JL
Edinburgh Caravan Club Site|55.977693, -3.265192|https://goo.gl/maps/82pTRBpi2Fs|VA
Edinburgh Gateway station|55.940646, -3.320114|https://goo.gl/maps/UQGfHYTgMj12|JL
Edinburgh International Climbing Centre, Ratho|55.922929, -3.397649|https://goo.gl/maps/7U2YnBggtF32|JL
Edinburgh Park|55.933777, -3.316203|https://goo.gl/maps/96ZZiDVeM5S2|JL
Edinburgh Royal Infirmary|55.921727, -3.136519|https://goo.gl/maps/RuZac3WNHvJ2|JL
Edinburgh Zoo, members entrance|55.943229, -3.268740|https://goo.gl/maps/CeinjRuiP7y|JL
Elephant House cafe|55.933496, -3.214039|https://www.google.co.uk/maps/place/The+Elephant+House/@55.9475073,-3.1914636,19.91z/data=!4m13!1m7!3m6!1s0x0:0x0!2zNTXCsDU2JzAwLjYiTiAzwrAxMic1MC41Ilc!3b1!8m2!3d55.933496!4d-3.214039!3m4!1s0x0:0xd4b7b3be4039d241!8m2!3d55.9475556!4d-3.1917456|TT
Entrance to Charlotte Square|55.951952, -3.206675|https://www.google.co.uk/maps/place/55%C2%B057'07.0%22N+3%C2%B012'24.0%22W/@55.951955,-3.2088637,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d55.951952!4d-3.206675|TT
ERI Lauriston Place|55.944503, -3.196587|https://goo.gl/maps/5DmY5zwpJ6w|JL
Festival Square|55.947099, -3.206583|https://goo.gl/maps/xsEU5vS72BK2|JL
Forthquarter Park|55.979127, -3.250943|https://goo.gl/maps/J4AaTy8je6B2|JL
Fountainpark entrance|55.941325, -3.217086|https://goo.gl/maps/qLjZZatQDCP2|JL
George Square Gdns, centre|55.943641, -3.188826|https://goo.gl/maps/H2B3VEPKSE12|JL
George Street, btw CS and Castle Street|55.952324, -3.204653|https://www.google.co.uk/maps/place/55%C2%B057'08.4%22N+3%C2%B012'16.8%22W/@55.9523255,-3.2057473,18z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d55.952324!4d-3.204653|TT
George Street, nr St Andrew Square|55.953895, -3.195126|https://www.google.co.uk/maps/place/55%C2%B057'14.0%22N+3%C2%B011'42.5%22W/@55.953898,-3.1973147,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d55.953895!4d-3.195126|TT
Gilmerton Cove, Drum Street|55.905664, -3.133091|https://goo.gl/maps/vsrS3JiVMFF2|JL
Gipsy Brae Recreation Ground|55.980828, -3.255388|https://goo.gl/maps/xUth5UwYorE2|VA
Gorgie City Farm|55.938460, -3.229289|https://goo.gl/maps/bEnmvyL6W712|JL
Gracemount Leisure Centre|55.902947, -3.154788|https://goo.gl/maps/kRJZa6wbtCx|JL
Granny's Green Steps|55.947515, -3.198011|https://goo.gl/maps/vKPeYfaTCAr|JL
Granton Crescent Park|55.979631, -3.224750|https://goo.gl/maps/4jWNzHWsH8q|VA
Greyfriars Bobby memorial|55.947035, -3.191998|https://goo.gl/maps/kYRH988Weos|JL
Harlaw House Visitor Centre|55.873199, -3.310623|https://goo.gl/maps/UmtaRH1G7BR2|VA
Harrison Park|55.933539, -3.225055|https://goo.gl/maps/ctsu9picaoG2|JL
Hermiston Park & Ride|55.916810, -3.314264|https://goo.gl/maps/T3X14WdveR52|VA
Hermitage of Braid|55.919740, -3.201124|https://goo.gl/maps/fp18ZJzzhfu|JL
High St x North Bridge|55.950157, -3.187411|https://goo.gl/maps/u1tEHVEb9i32|JL
Hunter's Hall park|55.931211, -3.116909|https://goo.gl/maps/AhAAL6otZmT2|JL
Inch Park|55.927267, -3.161006|https://goo.gl/maps/UPGDYu8dZcp|JL
Innocent Railway entrance|55.941446, -3.172262|https://goo.gl/maps/EFPVc8JqnHm|JL
Inveresk Lodge Garden|55.935113, -3.044250|https://goo.gl/maps/GCXkb5NJYWF2|JL
Jawbone Walk|55.942569, -3.191440|https://goo.gl/maps/LYeSE3yBzMB2|JL
John Knox House|55.950560, -3.185148|https://goo.gl/maps/XvPuMU3f8mG2|JL
Jupiter Artland cafe|55.907028, -3.424551|https://goo.gl/maps/iiPPvNuFt232|JL
King's Buildings entrance|55.924048, -3.172494|https://goo.gl/maps/upFn3g5yGwn|JL
Lauriston Castle|55.971013, -3.278649|https://goo.gl/maps/EiZ4uZeTrAr|JL
Leamington Lift Bridge|55.941368, -3.211099|https://goo.gl/maps/fVdkRXWgWv32|JL
Leith Citadel|55.976935, -3.174890|https://goo.gl/maps/qQKiKtQHh7J2|VA
Leith Links|55.971239, -3.165524|https://goo.gl/maps/6rhQcVg2izm|JL
Liberton Tower Lane|55.914012, -3.177057|https://goo.gl/maps/B8vBom8D98y|JL
Lighthouse Park, Western Harbour|55.988236, -3.185710|https://goo.gl/maps/Q4NDwf5MXhC2|JL
Lister Square|55.943797, -3.193894|https://goo.gl/maps/Qrj8nSxb7v62|JL
Royal Botanic Gardens John Hope Gateway|55.964433, -3.212579|https://goo.gl/maps/7M1PCSs8cHp|JL
Lochrin basin|55.942929, -3.208173|https://goo.gl/maps/xhbRULnmiks|JL
Makar's Court|55.949709, -3.193594|https://goo.gl/maps/1bfFfkURqAw|JL
Malleny Garden|55.885309, -3.336121|https://goo.gl/maps/cSd1eeuVRr32|VA
Marchmont Road x Strathearn Rd|55.934751, -3.193781|https://goo.gl/maps/ivydqXrzMcC2|JL
Marine Drive|55.979613, -3.279631|https://goo.gl/maps/naR7DDRph7S2|JL
Meadows east playpark|55.940905, -3.185150|https://goo.gl/maps/Ri12dDkM9LH2|JL
Meadows, Chalmers St|55.942352, -3.196729|https://goo.gl/maps/qpkrzGCUv862|JL
Melville Drive corner opp Summerhall|55.939989, -3.182946|https://goo.gl/maps/dN9V9G3X8g82|JL
Middle Meadow Walk|55.941454, -3.191504|https://www.google.co.uk/maps/place/55%C2%B056'29.2%22N+3%C2%B011'29.4%22W/@55.9414569,-3.1936582,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d55.941454!4d-3.191504|TT
Middle Meadow Walk, Peter's Yard|55.943634, -3.191643|https://goo.gl/maps/1u2zhWgkRVT2|JL
Moray House entrance|55.950392, -3.180406|https://goo.gl/maps/dPSoHiXGXWK2|JL
Morgan Playing Field|55.933019, -3.152534|https://goo.gl/maps/arcLzQeQtG52|JL
Morningside Cemetery, nr Alison Cunningham grave|55.924906, -3.213102|https://goo.gl/maps/Zc8w2WwyV7B2|JL
Mortonhall Gate|55.904454, -3.182160|https://goo.gl/maps/cjqEraTJcMN2|JL
Napier campus, Craiglockhart|55.918282, -3.240671|https://goo.gl/maps/EyNLpwfFZW92|JL
Napier Merchiston campus|55.933496, -3.214039|https://www.google.co.uk/maps/place/55%C2%B056'00.6%22N+3%C2%B012'50.5%22W/@55.933499,-3.2162277,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d55.933496!4d-3.214039|TT
National Gallery|55.950801, -3.195619|https://www.google.co.uk/maps/place/55%C2%B057'02.9%22N+3%C2%B011'44.2%22W/@55.950804,-3.1978077,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d55.950801!4d-3.195619|TT
National Museum, Chambers St|55.947428, -3.189356|https://goo.gl/maps/cZrvtqjPhPz|JL
National Museum, Chambers St roof terrace|55.946766, -3.190473|https://goo.gl/maps/SAY1QRTDD8K2|JL
Newbattle Abbey west entrance|55.881416, -3.070599|https://goo.gl/maps/D6rNkyFBc2L2|JL
Newcraighall public park|55.933666, -3.089158|https://goo.gl/maps/dm8EmK3uQom|JL
Newhailes grounds|55.943446, -3.074261|https://goo.gl/maps/GLvVj8pjm7K2|JL
Newington Rd (Birlinn)|55.938666, -3.179274|https://goo.gl/maps/eYmYD49ox5s|JL
NLS|55.948549, -3.192018|https://goo.gl/maps/rCuakRinD5T2|JL
Ocean Point, nr Britannia|55.982051, -3.176909|https://goo.gl/maps/5JjCbyVLyTx|JL
Path up to Craigmillar Castle|55.922265, -3.143157|https://goo.gl/maps/cCFTzX6GjQy|JL
Peatdraught Bay|56.000077, -3.355411|https://goo.gl/maps/1CCFMEgdL562|VA
Peffermill Playing Fields|55.930966, -3.153365|https://goo.gl/maps/VCCrjzhs2P62|VA
Pilton Park|55.974027, -3.22717|https://goo.gl/maps/JWaSjE73jk82|JL
Portobello promenade|55.952101, -3.103321|https://goo.gl/maps/PKLEtUAnKoF2|JL
Princes St Gdns E, nr cafe|55.951970, -3.195016|https://goo.gl/maps/7Uy9o8YeJZu|JL
Princes St Gdns E, nr Scott Mnmt|55.951940, -3.193821|https://goo.gl/maps/MQNvXFhuV5U2|JL
Princes St Gdns E, south of railway|55.950782, -3.193867|https://goo.gl/maps/vPAJkUjzx7J2|JL
Princes St Gdns E, south of railway|55.950971, -3.192250|https://goo.gl/maps/FTs7DpbqdBQ2|JL
Princes St Gdns S, below Castle|55.949756, -3.199128|https://goo.gl/maps/Zewi57nDZTD2|JL
Princes St Gdns W, below Castle |55.949411, -3.200231|https://goo.gl/maps/2F1AEusWGz22|JL
Princes St Gdns W, nr floral clock|55.951613, -3.197720|https://goo.gl/maps/QtXFzgQCT592|JL
Princes St Gdns W, nr Mound|55.951086, -3.197160|https://goo.gl/maps/M3aEBmFMuUk|JL
Princes St Gdns W, nr Ross Bandstand|55.950449, -3.201315|https://goo.gl/maps/6cekGZ23Tin|JL
Princes St Gdns W, nr Wotjek|55.950863, -3.201960|https://goo.gl/maps/DniLwJU6G9k|JL
Princes St Gdns W, Ross Fountain|55.950220, -3.203295|https://goo.gl/maps/q7anLos9BWs|JL
Princes St Gdns, nr King's Stables Rd|55.948165, -3.202628|https://goo.gl/maps/Mo6YVxyBC1S2|JL
Princes St Gdns, towards King's Stables Rd|55.949163, -3.202897|https://goo.gl/maps/uKmRc5m9VKN2|JL
Princes Street at S Charlotte Street|55.950465, -3.205876|https://www.google.co.uk/maps/place/55%C2%B057'01.7%22N+3%C2%B012'21.1%22W/@55.950468,-3.2080647,17z/data=!3m1!4b1!4m5!3m4!1s0x0:0x0!8m2!3d55.950465!4d-3.205876|TT
Queen's Drive at Dunsapie Loch|55.946335, -3.154252|https://goo.gl/maps/TET7Qmwx14x|JL
Queen's Drive at Radical Rd|55.942485, -3.167679|https://goo.gl/maps/Ph8cW7bt31H2|JL
Queen's Drive by Willowbrae Ave|55.951742, -3.151888|https://goo.gl/maps/tA5kGhyurco|JL
Radical Rd above Scottish Parly|55.948692, -3.172498|https://goo.gl/maps/RuhNG8iMHjJ2|JL
Redhall Park|55.921802, -3.255774|https://goo.gl/maps/gVfR7Kjo4TS2|JL
Regent Rd Park 1|55.954957, -3.174617|https://goo.gl/maps/i5siAXo6VXB2|JL
Regent Rd Park 2|55.955603, -3.173148|https://goo.gl/maps/u7z5XWWFxB42|JL
Rosebank Cottages|55.945058, -3.210122|https://goo.gl/maps/VWyb25J7hfR2|JL
Roseburn park|55.944171, -3.240300|https://goo.gl/maps/rU8qw77E55P2|JL
Royal Fort Yacht Club|55.983027, -3.223201|https://goo.gl/maps/mLQ7gMd9w1x|VA
Royal Observatory, Blackford|55.923121, -3.187221|https://goo.gl/maps/dESb3VX4eP42|JL
Salisbury Crags|55.944759, -3.171069|https://goo.gl/maps/wiHe8Ei9nkz|JL
Saughton Rose Gardens|55.933632, -3.247169|https://goo.gl/maps/efeKyskteWB2|JL
Scottish Nat Gallery Modern Art|55.951548, -3.226668|https://goo.gl/maps/RF56x4jpwAs|JL
Scottish Parliament forecourt|55.952481, -3.174294|https://goo.gl/maps/BdukogKZgGA2|JL
Scottish Parliament landforms|55.950987, -3.172523|https://goo.gl/maps/or9xhjm8YkS2|JL
Scottish Parliament water features|55.951639, -3.173306|https://goo.gl/maps/9fDvHs7ywN82|JL
Scottish Storytelling Centre|55.950594, -3.184863|https://goo.gl/maps/oTJyihG9htQ2|JL
Shawfair station|55.917828, -3.089392|https://goo.gl/maps/YFSAo2zziut|JL
Spylaw Park|55.906355, -3.261359|https://goo.gl/maps/i7oxQscqrAJ2|JL
St Stephens Centre|55.958386, -3.203440|https://goo.gl/maps/cMXkttpXTv12|JL
Swanston brasserie|55.893846, -3.217007|https://goo.gl/maps/gFH3eSvurTR2|JL
The Hub|55.948973, -3.194529|https://goo.gl/maps/DHwECsWvcYB2|JL
The Loch (Heriot Watt Campus)|55.911477, -3.319015|https://goo.gl/maps/3pQxi4WGfTx|VA
The Lyceum|55.946780, -3.204282|https://goo.gl/maps/DEkaZRrQK1r|JL
The Pleasance|55.947681, -3.181537|https://goo.gl/maps/ZRv658j6LB22|JL
The Sheep's Heid Inn|55.942001, -3.1507307|https://goo.gl/maps/ggqKXjPYdEw|TT
Traverse Theatre forecourt|55.947711, -3.205003|https://goo.gl/maps/VuUBhW7tVzL2|JL
Tweeddale Court (Canongate)|55.950120, -3.184432|https://goo.gl/maps/tmURMpdQtC72|JL
Tynecastle - Hearts|55.938859, -3.231176|https://goo.gl/maps/5iXpH1rzc9n|JL
Union Park, Carrick Knowe|55.936366, -3.275512|https://goo.gl/maps/afx3bHQXrTL2|JL
Victoria Park, Trinity|55.975753, -3.19180|https://goo.gl/maps/8osrzHrYNrr|JL
Wadie Playing Fields|55.977455, -3.213823|https://goo.gl/maps/FbDVy4GWEZs|VA
Wardie Bowling Club|55.974710, -3.219312|https://goo.gl/maps/ymowm3XPWjF2|VA
Water of Leith centre, Lanark Rd|55.923373, -3.247976|https://goo.gl/maps/9FeJL58DzkP2|JL
Water of Leith, behind SNGMA|55.949941, -3.229358|https://goo.gl/maps/WyzoVFe3Yn92|JL
Waverley Steps|55.953061, -3.190147|https://goo.gl/maps/hJpgLyUBcct|JL
West Mains Road, KB|55.924529, -3.177226|https://goo.gl/maps/hM56KxwjPcs|JL
Wester Hailes|55.912816, -3.273207|https://goo.gl/maps/j1pizAh8mM22|JL
London Road, Gardener's Cottage|55.957652, -3.180666|https://goo.gl/maps/NKnh5M9pRss|JL
Mansfield Terrace|55.959500, -3.190696|https://goo.gl/maps/WFjo2mCkMDD2|JL
Inverleith Park Pond|55.962312, -3.216525|https://goo.gl/maps/QXwy7NQCaTD2|JL
Trinity House Leith|55.972161, -3.171123|https://goo.gl/maps/RKzSePyLxUr|JL
Jeffrey St above the arches|55.951211, -3.184508|https://goo.gl/maps/DCkW67Suyiu|JL
Canongate Kirk, Fergusson statue|55.951578, -3.179279|https://goo.gl/maps/83jfLmAPtWs|JL
Nicolson Sq Gdns|55.945951, -3.185631|https://goo.gl/maps/oKwgtWHX9ep|JL
Bristo Square|55.945537, -3.188605|https://goo.gl/maps/H9NoKihGXmz|JL
Heriot's|55.945106, -3.193691|https://goo.gl/maps/XXUypfcbCSB2|JL
Charlotte Square entrance|55.951887, -3.206828|https://goo.gl/maps/HxLJUQWN4Xx|JL
St Andrew's Square cafe|55.954488, -3.192762|https://goo.gl/maps/CXfpANf3GBo|JL
